mode: set
DartScheduler/domain/player.go:14.44,16.21 2 1
DartScheduler/domain/player.go:16.21,18.3 1 1
DartScheduler/domain/player.go:19.2,19.72 1 1
DartScheduler/scheduler/annealing.go:44.9,55.38 9 1
DartScheduler/scheduler/annealing.go:55.38,56.28 1 1
DartScheduler/scheduler/annealing.go:56.28,59.4 1 1
DartScheduler/scheduler/annealing.go:60.3,62.39 2 1
DartScheduler/scheduler/annealing.go:62.39,64.24 1 1
DartScheduler/scheduler/annealing.go:64.24,66.5 1 1
DartScheduler/scheduler/annealing.go:66.10,68.5 1 1
DartScheduler/scheduler/annealing.go:70.3,70.22 1 1
DartScheduler/scheduler/annealing.go:70.22,74.4 2 1
DartScheduler/scheduler/annealing.go:76.3,76.31 1 1
DartScheduler/scheduler/annealing.go:76.31,78.12 2 1
DartScheduler/scheduler/annealing.go:81.3,85.54 4 1
DartScheduler/scheduler/annealing.go:85.54,87.30 2 1
DartScheduler/scheduler/annealing.go:87.30,90.5 2 1
DartScheduler/scheduler/annealing.go:91.9,93.4 1 1
DartScheduler/scheduler/annealing.go:94.3,94.13 1 1
DartScheduler/scheduler/annealing.go:96.2,97.13 2 1
DartScheduler/scheduler/annealing.go:109.14,110.26 1 1
DartScheduler/scheduler/annealing.go:110.26,112.3 1 1
DartScheduler/scheduler/annealing.go:113.2,115.46 2 1
DartScheduler/scheduler/annealing.go:115.46,115.109 1 1
DartScheduler/scheduler/annealing.go:116.2,116.32 1 1
DartScheduler/scheduler/annealing.go:116.32,121.33 3 1
DartScheduler/scheduler/annealing.go:121.33,123.4 1 1
DartScheduler/scheduler/annealing.go:124.3,124.43 1 1
DartScheduler/scheduler/annealing.go:124.43,124.122 1 1
DartScheduler/scheduler/annealing.go:126.3,126.37 1 1
DartScheduler/scheduler/annealing.go:126.37,129.24 3 1
DartScheduler/scheduler/annealing.go:129.24,130.13 1 1
DartScheduler/scheduler/annealing.go:135.4,136.15 2 1
DartScheduler/scheduler/annealing.go:136.15,138.5 1 1
DartScheduler/scheduler/annealing.go:142.4,144.50 3 1
DartScheduler/scheduler/annealing.go:144.50,144.121 1 1
DartScheduler/scheduler/annealing.go:145.4,145.51 1 1
DartScheduler/scheduler/annealing.go:145.51,145.126 1 1
DartScheduler/scheduler/annealing.go:147.4,147.36 1 1
DartScheduler/scheduler/annealing.go:147.36,148.26 1 1
DartScheduler/scheduler/annealing.go:148.26,149.14 1 1
DartScheduler/scheduler/annealing.go:151.5,151.38 1 1
DartScheduler/scheduler/annealing.go:151.38,152.39 1 1
DartScheduler/scheduler/annealing.go:152.39,154.7 1 1
DartScheduler/scheduler/annealing.go:159.2,159.15 1 1
DartScheduler/scheduler/annealing.go:170.14,174.34 3 1
DartScheduler/scheduler/annealing.go:174.34,176.3 1 1
DartScheduler/scheduler/annealing.go:177.2,177.46 1 1
DartScheduler/scheduler/annealing.go:177.46,177.109 1 1
DartScheduler/scheduler/annealing.go:179.2,179.33 1 1
DartScheduler/scheduler/annealing.go:179.33,183.39 3 1
DartScheduler/scheduler/annealing.go:183.39,184.21 1 1
DartScheduler/scheduler/annealing.go:184.21,186.17 2 1
DartScheduler/scheduler/annealing.go:186.17,188.6 1 1
DartScheduler/scheduler/annealing.go:189.5,189.37 1 1
DartScheduler/scheduler/annealing.go:189.37,192.45 2 1
DartScheduler/scheduler/annealing.go:192.45,192.88 1 1
DartScheduler/scheduler/annealing.go:193.6,193.31 1 1
DartScheduler/scheduler/annealing.go:193.31,194.28 1 1
DartScheduler/scheduler/annealing.go:194.28,195.16 1 1
DartScheduler/scheduler/annealing.go:198.7,198.62 1 1
DartScheduler/scheduler/annealing.go:198.62,201.36 2 1
DartScheduler/scheduler/annealing.go:201.36,202.21 1 1
DartScheduler/scheduler/annealing.go:202.21,204.10 1 1
DartScheduler/scheduler/annealing.go:208.6,208.18 1 1
DartScheduler/scheduler/annealing.go:210.10,213.5 2 1
DartScheduler/scheduler/annealing.go:216.2,216.15 1 1
DartScheduler/scheduler/annealing.go:220.70,222.29 2 1
DartScheduler/scheduler/annealing.go:222.29,225.3 2 1
DartScheduler/scheduler/annealing.go:226.2,226.12 1 1
DartScheduler/scheduler/annealing.go:230.55,231.15 1 1
DartScheduler/scheduler/annealing.go:231.15,233.3 1 1
DartScheduler/scheduler/annealing.go:234.2,235.21 2 1
DartScheduler/scheduler/annealing.go:235.21,237.3 1 1
DartScheduler/scheduler/annealing.go:238.2,238.12 1 1
DartScheduler/scheduler/annealing.go:241.148,248.2 6 1
DartScheduler/scheduler/annealing.go:251.88,253.32 2 1
DartScheduler/scheduler/annealing.go:253.32,256.3 2 1
DartScheduler/scheduler/annealing.go:257.2,257.10 1 1
DartScheduler/scheduler/annealing.go:262.37,266.2 3 1
DartScheduler/scheduler/constraints.go:17.106,19.24 2 1
DartScheduler/scheduler/constraints.go:19.24,21.3 1 1
DartScheduler/scheduler/constraints.go:22.2,22.33 1 1
DartScheduler/scheduler/constraints.go:22.33,26.3 3 1
DartScheduler/scheduler/constraints.go:27.2,27.15 1 1
DartScheduler/scheduler/constraints.go:31.102,33.22 2 1
DartScheduler/scheduler/constraints.go:33.22,35.3 1 1
DartScheduler/scheduler/constraints.go:36.2,36.33 1 1
DartScheduler/scheduler/constraints.go:36.33,40.3 3 1
DartScheduler/scheduler/constraints.go:41.2,41.13 1 1
DartScheduler/scheduler/constraints.go:46.119,49.28 3 1
DartScheduler/scheduler/constraints.go:49.28,50.26 1 1
DartScheduler/scheduler/constraints.go:50.26,52.25 2 1
DartScheduler/scheduler/constraints.go:52.25,54.5 1 1
DartScheduler/scheduler/constraints.go:55.4,55.17 1 1
DartScheduler/scheduler/constraints.go:55.17,57.5 1 1
DartScheduler/scheduler/constraints.go:60.2,60.19 1 1
DartScheduler/scheduler/constraints.go:66.123,67.26 1 1
DartScheduler/scheduler/constraints.go:67.26,69.3 1 1
DartScheduler/scheduler/constraints.go:70.2,75.32 5 1
DartScheduler/scheduler/constraints.go:75.32,79.32 4 1
DartScheduler/scheduler/constraints.go:79.32,80.12 1 1
DartScheduler/scheduler/constraints.go:82.3,83.26 2 1
DartScheduler/scheduler/constraints.go:83.26,84.20 1 1
DartScheduler/scheduler/constraints.go:84.20,86.5 1 1
DartScheduler/scheduler/constraints.go:89.2,89.19 1 1
DartScheduler/scheduler/constraints.go:95.94,100.25 3 1
DartScheduler/scheduler/constraints.go:100.25,101.22 1 1
DartScheduler/scheduler/constraints.go:101.22,103.4 1 1
DartScheduler/scheduler/constraints.go:106.2,107.30 2 1
DartScheduler/scheduler/constraints.go:107.30,109.39 2 1
DartScheduler/scheduler/constraints.go:109.39,110.21 1 1
DartScheduler/scheduler/constraints.go:110.21,112.37 2 1
DartScheduler/scheduler/constraints.go:112.37,114.6 1 1
DartScheduler/scheduler/constraints.go:115.10,117.5 1 1
DartScheduler/scheduler/constraints.go:120.2,120.19 1 1
DartScheduler/scheduler/constraints.go:125.94,130.28 4 1
DartScheduler/scheduler/constraints.go:130.28,131.26 1 1
DartScheduler/scheduler/constraints.go:131.26,133.14 2 1
